top - 22:41:29 up  4:30,  1 user,  load average: 0.74, 0.76, 0.78
Tasks: 238 total,   3 running, 233 sleeping,   0 stopped,   2 zombie
%Cpu(s):  7.3 us,  3.2 sy,  0.0 ni, 89.5 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem :   7893.1 total,   1954.5 free,   1915.2 used,   4023.3 buff/cache
MiB Swap:   8172.0 total,   8172.0 free,      0.0 used.   5793.4 avail Mem 

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
  636 root      20   0  132096  10204   9488 S   0.0   0.1   0:00.02 deepin-se+
  637 root      20   0 1603192  65636   7748 S   0.0   0.8   0:36.31 deepin-el+
  640 root      20   0 1393472  13080   9576 S   0.0   0.2   0:06.57 uos-resou+
  645 root      20   0  352024  14576  12648 S   0.0   0.2   0:00.09 LocalProp+
  646 root      20   0  346292  17696  15120 S   0.0   0.2   0:17.37 NetworkMa+
  648 root      20   0  333712  13500  11304 S   0.0   0.2   0:00.09 ModemMana+
  654 root      39  19   13152   5220   4392 S   0.0   0.1   0:00.02 alsactl
  717 root      20   0  255720  14324  10932 S   0.0   0.2   0:00.64 polkitd
  718 root      20   0   14928   3272   2896 S   0.0   0.0   0:02.55 perf.sh
  719 root      20   0   48708  14244  11956 S   0.0   0.2   0:00.35 winbindd
  732 root      20   0  235804   8660   7476 S   0.0   0.1   0:00.03 lightdm
  748 root      20   0 2066960  30716  14540 S   0.0   0.4   0:07.67 dde-syste+
  772 root      20   0   48708   8224   5932 S   0.0   0.1   0:00.08 winbindd
  782 root      20   0  128468  14360  12716 S   0.0   0.2   0:01.62 dde-dconf+
  799 root       0 -20       0      0      0 I   0.0   0.0   0:00.04 kworker/3+
  801 root      20   0  134140  10872  10112 S   0.0   0.1   0:00.00 dbus-udcp
  888 root      20   0  257476   8864   7608 S   0.0   0.1   0:00.11 upowerd
  973 root      20   0   86316   4780   4088 S   0.0   0.1   0:00.00 qaxsafed
 1117 root      20   0   13348   2004   1836 S   0.0   0.0   0:00.00 agetty
 1343 root      20   0 2002552  26216  14424 S   0.0   0.3   0:01.48 deepin-au+
 1469 root      20   0    9000   5688   4436 S   0.0   0.1   0:00.00 dhclient
 1491 root      20   0  219664  18440  16788 S   0.0   0.2   0:01.80 udcpg
 1511 root      20   0       0      0      0 Z   0.0   0.0   0:00.00 udcpg-web+
 1713 root      20   0  184868  11072   9596 S   0.0   0.1   0:00.03 lightdm
 1906 hbyc      20   0   19716  10092   7304 S   0.0   0.1   0:01.55 systemd
 1907 hbyc      20   0   21728   3136     48 S   0.0   0.0   0:00.00 (sd-pam)
 1917 hbyc      20   0  131936   7664   7032 S   0.0   0.1   0:00.00 deepin-se+
 1922 hbyc      20   0  245096   7916   6980 S   0.0   0.1   0:00.65 gnome-key+
 1927 hbyc      20   0 3341148  36216  20444 S   0.0   0.4   0:05.89 startdde
 2046 hbyc      20   0    5856   2404   2072 S   0.0   0.0   0:00.00 fcitx-imp+
 2048 hbyc      20   0  259644  39976  20324 S   0.0   0.5   0:00.56 fcitx
 2050 hbyc      20   0  247128   8372   7556 S   0.0   0.1   0:00.01 fcitx-gse+
 2053 hbyc      20   0  244676   7040   6128 S   0.0   0.1   0:00.25 gvfsd
 2060 hbyc      20   0  381044   7184   6396 S   0.0   0.1   0:00.02 gvfsd-fuse
 2073 hbyc      20   0    7840   3732   3032 S   0.0   0.0   0:00.07 dbus-daem+
 2077 hbyc      39  19    4892    204      0 S   0.0   0.0   0:00.00 fcitx-dbu+
 2098 hbyc      20   0    2036    560    492 S   0.0   0.0   0:00.00 kwin_no_s+
 2103 hbyc      20   0 2375588 168300 125128 S   0.0   2.1   0:06.93 dde-deskt+
 2121 hbyc      20   0  308976   7956   7152 S   0.0   0.1   0:00.02 at-spi-bu+
 2126 hbyc      20   0    7308   3720   3212 S   0.0   0.0   0:00.04 dbus-daem+
 2129 hbyc      20   0  160812   6960   6188 S   0.0   0.1   0:00.04 at-spi2-r+
 2135 hbyc      20   0  276240  27244  19640 S   0.0   0.3   0:00.77 bamfdaemon
 2155 hbyc      20   0  283284  12800  10776 S   0.0   0.2   0:00.06 gvfs-udis+
 2174 hbyc      20   0  240660   4648   4172 S   0.0   0.1   0:00.01 gvfs-mtp-+
 2179 hbyc      20   0  242716   6496   5684 S   0.0   0.1   0:00.01 gvfs-gpho+
 2186 hbyc      20   0  321872   7808   6920 S   0.0   0.1   0:00.01 gvfs-afc-+
 2192 hbyc      20   0  240828   5980   5428 S   0.0   0.1   0:00.00 gvfs-goa-+
 2205 hbyc      20   0  321952   9760   8592 S   0.0   0.1   0:00.08 gvfsd-tra+
 2218 hbyc      20   0  462352  27284  24136 S   0.0   0.3   0:00.16 deepin-wm+
 2391 hbyc      20   0  234556  23044  20552 S   0.0   0.3   0:00.30 kglobalac+
 2424 hbyc      20   0  156376   5596   4356 S   0.0   0.1   0:01.67 dconf-ser+
 2553 hbyc      20   0  167200   5256   4796 S   0.0   0.1   0:00.01 gvfsd-met+
 2562 hbyc      20   0 1653516  97888  78780 S   0.0   1.2   0:02.40 dde-osd
 2564 hbyc      20   0  488592  37908  33568 S   0.0   0.5   0:00.20 dde-polki+
 2590 hbyc      20   0   43732   6864   6128 S   0.0   0.1   0:00.00 obexd
 2611 root      20   0 1632064  26456  12828 S   0.0   0.3   0:09.40 lastore-d+
 2615 root      20   0  314180   5800   5264 S   0.0   0.1   0:00.28 deepin-ev+
 2778 hbyc      20   0  721364  42964  37860 S   0.0   0.5   0:02.08 dde-print+
 2808 hbyc      20   0  241152   4972   4496 S   0.0   0.1   0:00.00 agent
 2810 hbyc      20   0    2036   1224   1128 S   0.0   0.0   0:00.00 sh
 2812 hbyc      20   0 1711776  95256  68720 S   0.0   1.2   0:18.22 qaxtray
 2816 hbyc      20   0  627404  38016  33516 S   0.0   0.5   0:03.12 deepin-de+
 2824 hbyc      20   0 1246516  80468  65264 S   0.0   1.0   0:00.41 essclient
 2844 hbyc      20   0   54660   8056   7480 S   0.0   0.1   0:05.58 fcitx-hel+
 2848 hbyc      20   0  301612  65776  45488 S   0.0   0.8   0:00.84 python3
 2856 hbyc      20   0  478368  38976  34992 S   0.0   0.5   0:00.64 dde-clipb+
 2870 hbyc      20   0   10592   4788   3380 S   0.0   0.1   0:01.50 wpsd
 2887 hbyc      20   0  695744 121532 104612 S   0.0   1.5   0:09.00 wpsclouds+
